variable,first_year,last_year,name
DP04_0100,2010,2012,With a mortgage
DP04_0107,2010,2012,Without a mortgage
DP04_0110,2010,2012,With a mortgage
DP04_0111,2010,2012,With a mortgage
DP04_0112,2010,2012,With a mortgage
DP04_0113,2010,2012,With a mortgage
DP04_0119,2010,2012,Without a mortgage
DP04_0120,2010,2012,Without a mortgage
DP04_0121,2010,2012,Without a mortgage
DP04_0122,2010,2012,Without a mortgage
DP04_0114,2010,2014,With a mortgage
DP04_0123,2010,2014,Without a mortgage
DP04_0116,2015,2016,With a mortgage
DP04_0125,2015,2016,Without a mortgage
