geoid,NAME,Year,Population,geo_type
5000100325,"Addison town, Addison County, Vermont",1791,402,town
5000100325,"Addison town, Addison County, Vermont",1800,734,town
5000100325,"Addison town, Addison County, Vermont",1810,1100,town
5000100325,"Addison town, Addison County, Vermont",1820,1210,town
5000100325,"Addison town, Addison County, Vermont",1830,1306,town
5000100325,"Addison town, Addison County, Vermont",1840,1232,town
5000100325,"Addison town, Addison County, Vermont",1850,1279,town
5000100325,"Addison town, Addison County, Vermont",1860,1000,town
5000100325,"Addison town, Addison County, Vermont",1870,911,town
5000100325,"Addison town, Addison County, Vermont",1880,847,town
5000100325,"Addison town, Addison County, Vermont",1890,900,town
5000100325,"Addison town, Addison County, Vermont",1900,851,town
5000100325,"Addison town, Addison County, Vermont",1910,796,town
5000100325,"Addison town, Addison County, Vermont",1920,743,town
5000100325,"Addison town, Addison County, Vermont",1930,684,town
5000100325,"Addison town, Addison County, Vermont",1940,576,town
5000100325,"Addison town, Addison County, Vermont",1950,628,town
5000100325,"Addison town, Addison County, Vermont",1960,645,town
5000100325,"Addison town, Addison County, Vermont",1970,717,town
5000100325,"Addison town, Addison County, Vermont",1980,889,town
5000100325,"Addison town, Addison County, Vermont",1990,1023,town
5000100325,"Addison town, Addison County, Vermont",2000,1393,town
5000100325,"Addison town, Addison County, Vermont",2010,1371,town
5000100325,"Addison town, Addison County, Vermont",2020,1365,town
5001900475,"Albany town, Orleans County, Vermont",1791,0,town
5001900475,"Albany town, Orleans County, Vermont",1800,0,town
5001900475,"Albany town, Orleans County, Vermont",1810,101,town
5001900475,"Albany town, Orleans County, Vermont",1820,253,town
5001900475,"Albany town, Orleans County, Vermont",1830,683,town
5001900475,"Albany town, Orleans County, Vermont",1840,920,town
5001900475,"Albany town, Orleans County, Vermont",1850,1052,town
5001900475,"Albany town, Orleans County, Vermont",1860,1224,town
5001900475,"Albany town, Orleans County, Vermont",1870,1151,town
5001900475,"Albany town, Orleans County, Vermont",1880,1138,town
5001900475,"Albany town, Orleans County, Vermont",1890,995,town
5001900475,"Albany town, Orleans County, Vermont",1900,1028,town
5001900475,"Albany town, Orleans County, Vermont",1910,920,town
5001900475,"Albany town, Orleans County, Vermont",1920,840,town
5001900475,"Albany town, Orleans County, Vermont",1930,810,town
5001900475,"Albany town, Orleans County, Vermont",1940,748,town
5001900475,"Albany town, Orleans County, Vermont",1950,704,town
5001900475,"Albany town, Orleans County, Vermont",1960,560,town
5001900475,"Albany town, Orleans County, Vermont",1970,528,town
5001900475,"Albany town, Orleans County, Vermont",1980,705,town
5001900475,"Albany town, Orleans County, Vermont",1990,782,town
5001900475,"Albany town, Orleans County, Vermont",2000,840,town
5001900475,"Albany town, Orleans County, Vermont",2010,941,town
5001900475,"Albany town, Orleans County, Vermont",2020,976,town
